//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 9-4-2026
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.05, 22.09
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
761	18.23	182 	3.716
762	18.24	182 	3.721
763	18.26	183 	3.726
764	18.27	183 	3.730
765	18.29	183 	3.735
766	18.30	183 	3.740
767	18.32	183 	3.745
768	18.33	183 	3.750
769	18.34	183 	3.755
770	18.36	184 	3.760
771	18.37	184 	3.765
772	18.39	184 	3.770
773	18.40	184 	3.774
774	18.42	184 	3.779
775	18.43	184 	3.784
776	18.45	184 	3.789
777	18.46	185 	3.794
778	18.48	185 	3.799
779	18.49	185 	3.804
780	18.51	185 	3.809
781	18.52	185 	3.813
782	18.54	185 	3.818
783	18.55	186 	3.823
784	18.57	186 	3.828
785	18.58	186 	3.833
786	18.59	186 	3.838
787	18.61	186 	3.843
788	18.62	186 	3.848
789	18.64	186 	3.853
790	18.65	187 	3.857
791	18.67	187 	3.862
792	18.68	187 	3.867
793	18.70	187 	3.872
794	18.71	187 	3.877
795	18.73	187 	3.882
796	18.74	187 	3.887
797	18.76	188 	3.892
798	18.77	188 	3.896
799	18.79	188 	3.901
800	18.80	188 	3.906
801	18.81	188 	3.911
802	18.83	188 	3.916
803	18.84	188 	3.921
804	18.86	189 	3.926
805	18.87	189 	3.931
806	18.89	189 	3.936
807	18.90	189 	3.940
808	18.92	189 	3.945
809	18.93	189 	3.950
810	18.95	189 	3.955
811	18.96	190 	3.960
812	18.98	190 	3.965
813	18.99	190 	3.970
814	19.01	190 	3.975
815	19.02	190 	3.979
816	19.04	190 	3.984
817	19.05	190 	3.989
818	19.06	191 	3.994
819	19.08	191 	3.999
820	19.09	191 	4.004
821	19.11	191 	4.009
822	19.12	191 	4.014
823	19.14	191 	4.019
824	19.15	192 	4.023
825	19.17	192 	4.028
826	19.18	192 	4.033
827	19.20	192 	4.038
828	19.21	192 	4.043
829	19.23	192 	4.048
830	19.24	192 	4.053
831	19.26	193 	4.058
832	19.27	193 	4.063
833	19.28	193 	4.067
834	19.30	193 	4.072
835	19.31	193 	4.077
836	19.33	193 	4.082
837	19.34	193 	4.087
838	19.36	194 	4.092
839	19.37	194 	4.097
840	19.39	194 	4.102
841	19.40	194 	4.106
842	19.42	194 	4.111
843	19.43	194 	4.116
844	19.45	194 	4.121
845	19.46	195 	4.126
846	19.48	195 	4.131
847	19.49	195 	4.136
848	19.51	195 	4.141
849	19.52	195 	4.146
850	19.53	195 	4.150
851	19.55	195 	4.155
852	19.56	196 	4.160
853	19.58	196 	4.165
854	19.59	196 	4.170
855	19.61	196 	4.175
856	19.62	196 	4.180
857	19.64	196 	4.185
858	19.65	197 	4.189
859	19.67	197 	4.194
860	19.68	197 	4.199
861	19.70	197 	4.204
862	19.71	197 	4.209
863	19.73	197 	4.214
864	19.74	197 	4.219
865	19.75	198 	4.224
866	19.77	198 	4.229
867	19.78	198 	4.233
868	19.80	198 	4.238
869	19.81	198 	4.243
870	19.83	198 	4.248
871	19.84	198 	4.253
872	19.86	199 	4.258
873	19.87	199 	4.263
874	19.89	199 	4.268
875	19.90	199 	4.272
876	19.92	199 	4.277
877	19.93	199 	4.282
878	19.95	199 	4.287
879	19.96	200 	4.292
880	19.98	200 	4.297
881	19.99	200 	4.302
882	20.00	200 	4.307
883	20.02	200 	4.312
884	20.03	200 	4.316
885	20.05	200 	4.321
886	20.06	201 	4.326
887	20.08	201 	4.331
888	20.09	201 	4.336
889	20.11	201 	4.341
890	20.12	201 	4.346
891	20.14	201 	4.351
892	20.15	202 	4.355
893	20.17	202 	4.360
894	20.18	202 	4.365
895	20.20	202 	4.370
896	20.21	202 	4.375
897	20.22	202 	4.380
898	20.24	202 	4.385
899	20.25	203 	4.390
900	20.27	203 	4.395
901	20.28	203 	4.399
902	20.30	203 	4.404
903	20.31	203 	4.409
904	20.33	203 	4.414
905	20.34	203 	4.419
906	20.36	204 	4.424
907	20.37	204 	4.429
908	20.39	204 	4.434
909	20.40	204 	4.438
910	20.42	204 	4.443
911	20.43	204 	4.448
912	20.45	204 	4.453
913	20.46	205 	4.458
914	20.47	205 	4.463
915	20.49	205 	4.468
916	20.50	205 	4.473
917	20.52	205 	4.478
918	20.53	205 	4.482
919	20.55	205 	4.487
920	20.56	206 	4.492
921	20.58	206 	4.497
922	20.59	206 	4.502
923	20.61	206 	4.507
924	20.62	206 	4.512
925	20.64	206 	4.517
926	20.65	207 	4.521
927	20.67	207 	4.526
928	20.68	207 	4.531
929	20.69	207 	4.536
930	20.71	207 	4.541
931	20.72	207 	4.546
932	20.74	207 	4.551
933	20.75	208 	4.556
934	20.77	208 	4.561
935	20.78	208 	4.565
936	20.80	208 	4.570
937	20.81	208 	4.575
938	20.83	208 	4.580
939	20.84	208 	4.585
940	20.86	209 	4.590
941	20.87	209 	4.595
942	20.89	209 	4.600
943	20.90	209 	4.604
944	20.92	209 	4.609
945	20.93	209 	4.614
946	20.94	209 	4.619
947	20.96	210 	4.624
948	20.97	210 	4.629
949	20.99	210 	4.634
950	21.00	210 	4.639
951	21.02	210 	4.644
952	21.03	210 	4.648
953	21.05	210 	4.653
954	21.06	211 	4.658
955	21.08	211 	4.663
956	21.09	211 	4.668
957	21.11	211 	4.673
958	21.12	211 	4.678
959	21.14	211 	4.683
960	21.15	212 	4.688
961	21.16	212 	4.692
962	21.18	212 	4.697
963	21.19	212 	4.702
964	21.21	212 	4.707
965	21.22	212 	4.712
966	21.24	212 	4.717
967	21.25	213 	4.722
968	21.27	213 	4.727
969	21.28	213 	4.731
970	21.30	213 	4.736
971	21.31	213 	4.741
972	21.33	213 	4.746
973	21.34	213 	4.751
974	21.36	214 	4.756
975	21.37	214 	4.761
